time: 49306080
x[7]: = -21 , y[7]: = 90  , z[7]: = 15  , avg[7]: = 93.626919
x[8]: = -33 , y[8]: = 156 , z[8]: = 47  , avg[8]: = 166.234774
x[9]: = -28 , y[9]: = 215 , z[9]: = 84  , avg[9]: = 232.518816
time: 49314272
x[0]: = -82 , y[0]: = 268 , z[0]: = 107 , avg[0]: = 299.995000
x[1]: = -76 , y[1]: = 286 , z[1]: = 95  , avg[1]: = 310.800579
x[2]: = -33 , y[2]: = 282 , z[2]: = 119 , avg[2]: = 307.853861
x[3]: = 107 , y[3]: = 534 , z[3]: = 208 , avg[3]: = 582.982847
x[4]: = -71 , y[4]: = 380 , z[4]: = 194 , avg[4]: = 432.523988
x[5]: = -25 , y[5]: = 303 , z[5]: = 50  , avg[5]: = 308.113615
x[6]: = 10  , y[6]: = 197 , z[6]: = 126 , avg[6]: = 234.061958
x[7]: = -47 , y[7]: = 226 , z[7]: = 19  , avg[7]: = 231.616062
x[8]: = -36 , y[8]: = 215 , z[8]: = 74  , avg[8]: = 230.210773
x[9]: = -37 , y[9]: = 229 , z[9]: = 50  , avg[9]: = 237.297282
time: 49314672
x[0]: = -34 , y[0]: = 226 , z[0]: = 56  , avg[0]: = 235.304059
x[1]: = -39 , y[1]: = 230 , z[1]: = 58  , avg[1]: = 240.385108
x[2]: = -35 , y[2]: = 233 , z[2]: = 62  , avg[2]: = 243.634973
x[3]: = -35 , y[3]: = 231 , z[3]: = 65  , avg[3]: = 242.509794
x[4]: = -34 , y[4]: = 230 , z[4]: = 64  , avg[4]: = 241.147258
x[5]: = -37 , y[5]: = 232 , z[5]: = 63  , avg[5]: = 243.232399
x[6]: = -36 , y[6]: = 231 , z[6]: = 63  , avg[6]: = 242.128065
x[7]: = -37 , y[7]: = 230 , z[7]: = 64  , avg[7]: = 241.588493
x[8]: = -35 , y[8]: = 230 , z[8]: = 63  , avg[8]: = 241.026969
x[9]: = -36 , y[9]: = 230 , z[9]: = 63  , avg[9]: = 241.174211
time: 49315096
x[0]: = -27 , y[0]: = 228 , z[0]: = 65  , avg[0]: = 238.616848
x[1]: = -24 , y[1]: = 227 , z[1]: = 68  , avg[1]: = 238.178504
x[2]: = -25 , y[2]: = 228 , z[2]: = 68  , avg[2]: = 239.234195
x[3]: = -30 , y[3]: = 229 , z[3]: = 68  , avg[3]: = 240.759216
x[4]: = -37 , y[4]: = 229 , z[4]: = 70  , avg[4]: = 242.301465
x[5]: = -37 , y[5]: = 232 , z[5]: = 66  , avg[5]: = 244.026638
x[6]: = -37 , y[6]: = 230 , z[6]: = 64  , avg[6]: = 241.588493
x[7]: = -33 , y[7]: = 229 , z[7]: = 64  , avg[7]: = 240.054161
x[8]: = -37 , y[8]: = 230 , z[8]: = 61  , avg[8]: = 240.811129
x[9]: = -34 , y[9]: = 229 , z[9]: = 61  , avg[9]: = 239.411779
time: 49315496
x[0]: = -38 , y[0]: = 231 , z[0]: = 63  , avg[0]: = 242.433496
x[1]: = -38 , y[1]: = 231 , z[1]: = 62  , avg[1]: = 242.175556
x[2]: = -38 , y[2]: = 229 , z[2]: = 65  , avg[2]: = 241.060158
x[3]: = -37 , y[3]: = 236 , z[3]: = 62  , avg[3]: = 246.797488
x[4]: = -32 , y[4]: = 252 , z[4]: = 50  , avg[4]: = 258.897663
x[5]: = -35 , y[5]: = 272 , z[5]: = 84  , avg[5]: = 286.818758
